PRACTICE_CODE,year,month,Patient_count
F83002,2014,1,9808
F83002,2014,2,9808
F83002,2014,3,9808
F83002,2014,4,9463
F83002,2014,5,9463
F83002,2014,6,9463
F83002,2014,7,9561
F83002,2014,8,9561
F83002,2014,9,9561
F83002,2014,10,9657
F83002,2014,11,9657
F83002,2014,12,9657
F83002,2015,1,9879
F83002,2015,2,9879
F83002,2015,3,9879
F83002,2015,4,9969
F83002,2015,5,9969
F83002,2015,6,9969
F83002,2015,7,10194
F83002,2015,8,10194
F83002,2015,9,10194
F83002,2015,10,10347
F83002,2015,11,10347
F83002,2015,12,10347
F83002,2016,1,10413
F83002,2016,2,10413
F83002,2016,3,10413
F83002,2016,4,10348
F83002,2016,5,10348
F83002,2016,6,10348
F83002,2016,7,10420
F83002,2016,8,10420
F83002,2016,9,10420
F83002,2016,10,10422
F83002,2016,11,10422
F83002,2016,12,10422
F83002,2017,1,10277
F83002,2017,2,10277
F83002,2017,3,10277
F83002,2017,4,10254
F83002,2017,5,10259
F83002,2017,6,10261
F83002,2017,7,10254
F83002,2017,8,10257
F83002,2017,9,10236
F83002,2017,10,10204
F83002,2017,11,10224
F83002,2017,12,10236
F83002,2018,1,10158
F83002,2018,2,10119
F83002,2018,3,10024
F83002,2018,4,9967
F83002,2018,5,9955
F83002,2018,6,9971
F83002,2018,7,9995
F83002,2018,8,10020
F83002,2018,9,10019
F83002,2018,10,10022
F83002,2018,11,10006
F83002,2018,12,10044
F83002,2019,1,10044
F83002,2019,2,10050
F83002,2019,3,10087
F83002,2019,4,10078
F83002,2019,5,10062
F83002,2019,6,10075
F83002,2019,7,10056
F83002,2019,8,10048
F83002,2019,9,10049
F83002,2019,10,10059
F83002,2019,11,10066
F83002,2019,12,10070
F83002,2020,1,10045
F83002,2020,2,10054
F83002,2020,3,10056
F83002,2020,4,10035
F83002,2020,5,10004
F83002,2020,6,9988
F83002,2020,7,9993
F83002,2020,8,9980
F83002,2020,9,9992
F83002,2020,10,9997
F83002,2020,11,9981
F83002,2020,12,9939
F83002,2021,1,9921
F83002,2021,2,9889
F83002,2021,3,9944
F83002,2021,4,9988
F83002,2021,5,10063
F83002,2021,6,10098
F83002,2021,7,10197
F83002,2021,8,10235
F83002,2021,9,10249
F83002,2021,10,10287
F83002,2021,11,10357
F83002,2021,12,10382
F83002,2022,1,10401
F83002,2022,2,10466
F83002,2022,3,10517
F83002,2022,4,10599
F83002,2022,5,10647
F83002,2022,6,10679
F83002,2022,7,10745
F83002,2022,8,10742
F83002,2022,9,10785
F83002,2022,10,10825
F83002,2022,11,10874
F83002,2022,12,10878
F83002,2023,1,10870
F83002,2023,2,10871
F83002,2023,3,10887
F83002,2023,4,10841
F83002,2023,5,10802
F83002,2023,6,10795
F83002,2023,7,10770
F83002,2023,8,10748
F83002,2023,9,10786
F83002,2023,10,10788
F83002,2023,11,10861
F83002,2023,12,10864
F83004,2014,1,5499
F83004,2014,2,5499
F83004,2014,3,5499
F83004,2014,4,5416
F83004,2014,5,5416
F83004,2014,6,5416
F83004,2014,7,5442
F83004,2014,8,5442
F83004,2014,9,5442
F83004,2014,10,5392
F83004,2014,11,5392
F83004,2014,12,5392
F83004,2015,1,5377
F83004,2015,2,5377
F83004,2015,3,5377
F83004,2015,4,5287
F83004,2015,5,5287
F83004,2015,6,5287
F83004,2015,7,5254
F83004,2015,8,5254
F83004,2015,9,5254
F83004,2015,10,5238
F83004,2015,11,5238
F83004,2015,12,5238
F83004,2016,1,5220
F83004,2016,2,5220
F83004,2016,3,5220
F83004,2016,4,5206
F83004,2016,5,5206
F83004,2016,6,5206
F83004,2016,7,5150
F83004,2016,8,5150
F83004,2016,9,5150
F83004,2016,10,5185
F83004,2016,11,5185
F83004,2016,12,5185
F83004,2017,1,5289
F83004,2017,2,5289
F83004,2017,3,5289
F83004,2017,4,5436
F83004,2017,5,5479
F83004,2017,6,5521
F83004,2017,7,5541
F83004,2017,8,5579
F83004,2017,9,5614
F83004,2017,10,5662
F83004,2017,11,5748
F83004,2017,12,5795
F83004,2018,1,5809
F83004,2018,2,5859
F83004,2018,3,5928
F83004,2018,4,6001
F83004,2018,5,6063
F83004,2018,6,6114
F83004,2018,7,6113
F83004,2018,8,6174
F83004,2018,9,6194
F83004,2018,10,6218
F83004,2018,11,6222
F83004,2018,12,6267
F83004,2019,1,6279
F83004,2019,2,6311
F83004,2019,3,6350
F83004,2019,4,6421
F83004,2019,5,6460
F83004,2019,6,6524
F83004,2019,7,6580
F83004,2019,8,6689
F83004,2019,9,6825
F83004,2019,10,6933
F83004,2019,11,7087
F83004,2019,12,7389
F83004,2020,1,7780
F83004,2020,2,8146
F83004,2020,3,8430
F83004,2020,4,9207
F83004,2020,5,10066
F83004,2020,6,10764
F83004,2020,7,11467
F83004,2020,8,11666
F83004,2020,9,11927
F83004,2020,10,12152
F83004,2020,11,12787
F83004,2020,12,13148
F83004,2021,1,13701
F83004,2021,2,14089
F83004,2021,3,14646
F83004,2021,4,15064
F83004,2021,5,15374
F83004,2021,6,15805
F83004,2021,7,16439
F83004,2021,8,16952
F83004,2021,9,17256
F83004,2021,10,16978
F83004,2021,11,16954
F83004,2021,12,17186
F83004,2022,1,17504
F83004,2022,2,17816
F83004,2022,3,18057
F83004,2022,4,18266
F83004,2022,5,18485
F83004,2022,6,18823
F83004,2022,7,19293
F83004,2022,8,19709
F83004,2022,9,20043
F83004,2022,10,20495
F83004,2022,11,20915
F83004,2022,12,20833
F83004,2023,1,21743
F83004,2023,2,22515
F83004,2023,3,23092
F83004,2023,4,23328
F83004,2023,5,23477
F83004,2023,6,24167
F83004,2023,7,24639
F83004,2023,8,25023
F83004,2023,9,25331
F83004,2023,10,25521
F83004,2023,11,25683
F83004,2023,12,25895
F83007,2014,1,4667
F83007,2014,2,4667
F83007,2014,3,4667
F83007,2014,4,4609
F83007,2014,5,4609
F83007,2014,6,4609
F83007,2014,7,4637
F83007,2014,8,4637
F83007,2014,9,4637
F83007,2014,10,4644
F83007,2014,11,4644
F83007,2014,12,4644
F83007,2015,1,4665
F83007,2015,2,4665
F83007,2015,3,4665
F83007,2015,4,4643
F83007,2015,5,4643
F83007,2015,6,4643
F83007,2015,7,4731
F83007,2015,8,4731
F83007,2015,9,4731
F83007,2015,10,4735
F83007,2015,11,4735
F83007,2015,12,4735
F83007,2016,1,4713
F83007,2016,2,4713
F83007,2016,3,4713
F83007,2016,4,4696
F83007,2016,5,4696
F83007,2016,6,4696
